Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Demand Forecast,Holiday/Promotion
2022-01-01,S002,P0013,Clothing,East,389,283,299.7,0
2022-01-01,S002,P0014,Electronics,East,465,359,370.36,0
2022-01-01,S002,P0015,Toys,South,197,129,148.55,1
2022-01-01,S002,P0016,Toys,South,242,63,58.07,1
2022-01-01,S002,P0017,Groceries,West,398,373,390.89,1
2022-01-01,S002,P0018,Groceries,North,234,160,177.41,0
2022-01-01,S002,P0019,Toys,East,67,15,34.38,1
2022-01-01,S002,P0020,Toys,West,221,101,115.0,1
2022-01-01,S003,P0001,Toys,South,241,147,161.09,1
2022-01-01,S003,P0002,Electronics,West,115,4,11.11,1
2022-01-01,S003,P0003,Groceries,South,375,77,75.04,1
2022-01-01,S003,P0004,Toys,South,153,31,42.99,1
2022-01-01,S003,P0005,Clothing,West,438,325,330.92,0
2022-01-01,S003,P0006,Groceries,North,456,163,159.17,1
2022-01-01,S003,P0007,Electronics,North,189,34,26.91,1
2022-01-01,S003,P0008,Toys,North,223,47,45.48,1
2022-01-01,S003,P0009,Groceries,South,381,15,30.05,1
2022-01-01,S003,P0010,Groceries,South,166,126,141.34,1
2022-01-01,S003,P0011,Toys,East,292,232,242.02,1
2022-01-01,S003,P0012,Electronics,North,311,175,176.75,0
2022-01-01,S003,P0013,Furniture,North,51,17,12.86,1
2022-01-01,S003,P0014,Electronics,South,398,369,387.88,0
2022-01-01,S003,P0015,Clothing,West,445,260,266.36,0
2022-01-01,S003,P0016,Groceries,South,487,347,349.36,0
2022-01-01,S003,P0017,Clothing,East,429,150,157.82,1
2022-01-01,S003,P0018,Toys,West,204,70,83.01,1
2022-01-01,S003,P0019,Clothing,East,330,249,268.25,1
2022-01-01,S003,P0020,Electronics,North,431,370,387.57,1
2022-01-01,S004,P0001,Toys,South,477,271,286.65,0
2022-01-01,S004,P0002,Clothing,North,462,180,176.06,0
2022-01-01,S004,P0003,Clothing,West,446,344,352.93,0
2022-01-01,S004,P0004,Groceries,West,437,0,-2.4,0
2022-01-01,S004,P0005,Groceries,North,397,200,196.57,1
2022-01-01,S004,P0006,Electronics,East,470,382,396.4,0
2022-01-01,S004,P0007,Electronics,West,264,190,197.45,0
2022-01-01,S004,P0008,Furniture,South,250,51,54.98,1
2022-01-01,S004,P0009,Furniture,North,63,40,51.78,1
2022-01-01,S004,P0010,Groceries,East,447,104,115.03,0
2022-01-01,S004,P0011,Electronics,West,205,46,46.65,1
2022-01-01,S004,P0012,Electronics,North,349,9,0.95,1
2022-01-01,S004,P0013,Furniture,East,191,56,54.47,0
2022-01-01,S004,P0014,Electronics,West,406,63,69.73,1
2022-01-01,S004,P0015,Clothing,South,228,181,171.96,0
2022-01-01,S004,P0016,Groceries,South,263,94,98.05,0
2022-01-01,S004,P0017,Electronics,South,203,46,55.12,0
2022-01-01,S004,P0018,Groceries,West,143,8,27.3,1
2022-01-01,S004,P0019,Groceries,West,359,172,181.25,1
2022-01-01,S004,P0020,Clothing,West,211,68,86.27,0
2022-01-01,S005,P0001,Toys,West,111,77,83.47,0
2022-01-01,S005,P0002,Clothing,West,415,298,292.96,1
2022-01-01,S005,P0003,Electronics,North,384,64,76.02,0
2022-01-01,S005,P0004,Furniture,West,436,300,292.04,1
2022-01-01,S005,P0005,Clothing,West,180,21,38.63,1
2022-01-01,S005,P0006,Groceries,North,185,176,174.06,0
2022-01-01,S005,P0007,Clothing,South,292,131,122.6,0
2022-01-01,S005,P0008,Toys,West,478,317,328.64,1
2022-01-01,S005,P0009,Groceries,West,182,97,92.62,0
2022-01-01,S005,P0010,Clothing,East,87,8,14.38,1
2022-01-01,S005,P0011,Groceries,West,427,104,94.65,1
2022-01-01,S005,P0012,Electronics,West,245,87,90.59,0
2022-01-01,S005,P0013,Furniture,South,317,238,256.57,0
2022-01-01,S005,P0014,Electronics,South,325,171,188.55,1
2022-01-01,S005,P0015,Furniture,West,411,250,260.79,0
2022-01-01,S005,P0016,Clothing,South,71,11,1.85,0
2022-01-01,S005,P0017,Electronics,East,388,371,390.04,1
2022-01-01,S005,P0018,Furniture,West,161,107,103.97,1
2022-01-01,S005,P0019,Groceries,South,235,106,119.33,0
2022-01-01,S005,P0020,Electronics,South,108,101,105.92,1
2022-01-02,S001,P0001,Groceries,West,116,81,92.94,0
2022-01-02,S001,P0002,Clothing,West,416,163,171.6,0
2022-01-02,S001,P0003,Clothing,South,488,464,463.12,0
2022-01-02,S001,P0004,Groceries,East,248,116,133.92,0
2022-01-02,S001,P0005,Electronics,East,238,200,204.3,1
2022-01-02,S001,P0006,Furniture,East,471,58,51.57,1
2022-01-02,S001,P0007,Electronics,North,178,56,60.3,1
2022-01-02,S001,P0008,Clothing,East,92,74,67.04,0
2022-01-02,S001,P0009,Toys,South,99,54,70.6,0
2022-01-02,S001,P0010,Clothing,North,171,39,47.8,0
2022-01-02,S001,P0011,Furniture,East,215,12,16.92,1
2022-01-02,S001,P0012,Furniture,East,281,56,70.71,1
2022-01-02,S001,P0013,Toys,North,455,31,44.46,1
2022-01-02,S001,P0014,Electronics,West,84,25,23.36,1
2022-01-02,S001,P0015,Electronics,East,246,198,203.23,1
2022-01-02,S001,P0016,Electronics,West,399,77,67.55,0
2022-01-02,S001,P0017,Furniture,West,242,165,181.86,0
2022-01-02,S001,P0018,Toys,North,478,42,55.16,0
2022-01-02,S001,P0019,Furniture,South,156,8,24.41,1
2022-01-02,S001,P0020,Electronics,North,221,174,187.49,0
2022-01-02,S002,P0001,Electronics,West,402,343,339.04,1
2022-01-02,S002,P0002,Furniture,West,132,71,82.44,0
2022-01-02,S002,P0003,Groceries,West,218,157,153.42,1
2022-01-02,S002,P0004,Groceries,South,131,88,100.61,0
2022-01-02,S002,P0005,Groceries,North,93,64,57.53,1
2022-01-02,S002,P0006,Groceries,East,344,273,273.1,0
2022-01-02,S002,P0007,Groceries,North,340,247,264.18,0
2022-01-02,S002,P0008,Electronics,North,241,42,46.32,1
2022-01-02,S002,P0009,Electronics,North,296,197,195.61,0
2022-01-02,S002,P0010,Groceries,West,472,374,387.41,1
2022-01-02,S002,P0011,Furniture,East,308,154,169.13,0
2022-01-02,S002,P0012,Toys,North,434,236,239.09,0
2022-01-02,S002,P0013,Toys,North,287,278,279.91,1
2022-01-02,S002,P0014,Furniture,West,190,27,31.53,0
2022-01-02,S002,P0015,Toys,North,353,106,110.49,1
2022-01-02,S002,P0016,Toys,West,210,154,166.83,0
2022-01-02,S002,P0017,Clothing,West,193,176,174.49,1
2022-01-02,S002,P0018,Groceries,East,124,124,116.05,0
2022-01-02,S002,P0019,Toys,East,492,479,469.74,0
2022-01-02,S002,P0020,Clothing,South,222,78,76.55,1
2022-01-02,S003,P0001,Toys,West,277,114,132.41,0
2022-01-02,S003,P0002,Groceries,East,175,2,-3.4,0
2022-01-02,S003,P0003,Toys,East,157,7,22.8,1
2022-01-02,S003,P0004,Furniture,West,120,54,49.64,0
2022-01-02,S003,P0005,Furniture,East,375,282,297.42,0
2022-01-02,S003,P0006,Groceries,East,302,93,106.58,0
2022-01-02,S003,P0007,Electronics,West,375,85,85.31,0
2022-01-02,S003,P0008,Clothing,South,248,136,130.52,0
2022-01-02,S003,P0009,Electronics,West,219,140,139.46,1
2022-01-02,S003,P0010,Furniture,West,146,79,94.23,1
2022-01-02,S003,P0011,Furniture,South,218,106,117.65,1
2022-01-02,S003,P0012,Groceries,West,260,1,1.99,1
2022-01-02,S003,P0013,Electronics,West,414,203,206.35,1
2022-01-02,S003,P0014,Toys,North,420,368,384.47,0
2022-01-02,S003,P0015,Electronics,East,435,286,283.25,0
2022-01-02,S003,P0016,Clothing,South,230,69,70.77,0
2022-01-02,S003,P0017,Toys,South,456,52,65.67,0
2022-01-02,S003,P0018,Toys,East,319,109,126.67,1
2022-01-02,S003,P0019,Furniture,North,59,50,44.37,0
2022-01-02,S003,P0020,Electronics,East,155,0,9.42,1
2022-01-02,S004,P0001,Electronics,North,144,22,39.12,0
2022-01-02,S004,P0002,Electronics,East,283,45,46.65,1
2022-01-02,S004,P0003,Clothing,East,347,89,87.77,1
2022-01-02,S004,P0004,Groceries,East,410,209,224.66,0
2022-01-02,S004,P0005,Toys,West,99,4,14.91,0
2022-01-02,S004,P0006,Toys,East,97,47,52.02,0
2022-01-02,S004,P0007,Furniture,West,339,115,124.22,0
2022-01-02,S004,P0008,Toys,South,144,27,21.73,0
2022-01-02,S004,P0009,Furniture,South,110,90,103.6,0
2022-01-02,S004,P0010,Groceries,South,348,206,214.99,1
2022-01-02,S004,P0011,Toys,East,458,328,339.54,1
2022-01-02,S004,P0012,Groceries,South,403,155,145.99,0
2022-01-02,S004,P0013,Clothing,West,198,184,191.55,1
2022-01-02,S004,P0014,Electronics,East,472,16,28.75,0
2022-01-02,S004,P0015,Toys,North,178,90,98.56,1
2022-01-02,S004,P0016,Clothing,West,215,178,180.76,0
2022-01-02,S004,P0017,Electronics,South,477,256,254.89,0
2022-01-02,S004,P0018,Furniture,South,198,27,25.51,0
2022-01-02,S004,P0019,Groceries,North,110,67,79.41,1
2022-01-02,S004,P0020,Electronics,North,254,84,77.15,1
2022-01-02,S005,P0001,Groceries,East,223,67,74.8,0
2022-01-02,S005,P0002,Furniture,West,100,15,28.97,1
2022-01-02,S005,P0003,Toys,West,397,333,336.02,1
2022-01-02,S005,P0004,Groceries,North,442,56,54.08,1
2022-01-02,S005,P0005,Furniture,West,411,165,172.41,0
2022-01-02,S005,P0006,Clothing,North,76,54,49.32,1
2022-01-02,S005,P0007,Clothing,East,257,93,84.69,0
2022-01-02,S005,P0008,Furniture,East,353,250,254.75,0
2022-01-02,S005,P0009,Electronics,West,119,90,99.63,0
2022-01-02,S005,P0010,Furniture,West,403,83,84.32,1
2022-01-02,S005,P0011,Electronics,East,60,16,23.98,1
2022-01-02,S005,P0012,Toys,West,182,87,83.13,0
2022-01-02,S005,P0013,Furniture,East,455,241,235.03,0
2022-01-02,S005,P0014,Toys,South,437,286,282.52,1
2022-01-02,S005,P0015,Clothing,West,289,60,52.77,1
2022-01-02,S005,P0016,Groceries,East,487,437,432.86,1
2022-01-02,S005,P0017,Toys,North,418,377,383.26,1
2022-01-02,S005,P0018,Clothing,West,89,83,78.67,1
2022-01-02,S005,P0019,Clothing,West,421,203,220.23,0
2022-01-02,S005,P0020,Clothing,South,211,183,190.11,1
2022-01-03,S001,P0001,Electronics,West,154,5,5.36,0
2022-01-03,S001,P0002,Clothing,East,282,199,193.26,0
2022-01-03,S001,P0003,Toys,South,183,176,168.28,0
2022-01-03,S001,P0004,Electronics,East,239,214,228.51,1
2022-01-03,S001,P0005,Groceries,West,368,165,170.76,0
2022-01-03,S001,P0006,Furniture,South,57,9,13.6,0
2022-01-03,S001,P0007,Clothing,South,460,140,143.7,0
2022-01-03,S001,P0008,Groceries,West,214,177,178.0,0
2022-01-03,S001,P0009,Groceries,South,407,217,217.69,0
2022-01-03,S001,P0010,Electronics,West,51,47,38.08,0
2022-01-03,S001,P0011,Groceries,East,252,3,5.18,0
2022-01-03,S001,P0012,Clothing,East,72,2,9.81,0
2022-01-03,S001,P0013,Clothing,South,194,18,20.5,1
2022-01-03,S001,P0014,Toys,South,302,242,255.54,1
2022-01-03,S001,P0015,Toys,North,330,228,246.91,1
2022-01-03,S001,P0016,Clothing,East,148,31,35.11,1
2022-01-03,S001,P0017,Clothing,North,315,16,33.51,0
2022-01-03,S001,P0018,Furniture,East,97,20,37.26,0
2022-01-03,S001,P0019,Furniture,South,240,193,203.45,1
2022-01-03,S001,P0020,Toys,North,178,118,110.02,1
2022-01-03,S002,P0001,Toys,North,405,96,100.82,1
2022-01-03,S002,P0002,Electronics,North,200,48,55.45,1
2022-01-03,S002,P0003,Furniture,West,327,130,127.03,1
2022-01-03,S002,P0004,Groceries,North,409,11,8.25,1
2022-01-03,S002,P0005,Groceries,West,327,313,326.56,1
2022-01-03,S002,P0006,Furniture,North,388,352,365.82,0
2022-01-03,S002,P0007,Toys,South,483,265,277.23,0
2022-01-03,S002,P0008,Furniture,South,70,11,23.62,0
2022-01-03,S002,P0009,Groceries,South,288,191,207.27,0
2022-01-03,S002,P0010,Electronics,West,270,185,192.21,1
2022-01-03,S002,P0011,Clothing,North,217,143,154.26,1
2022-01-03,S002,P0012,Electronics,West,221,85,104.48,0
2022-01-03,S002,P0013,Groceries,West,303,270,268.73,0
2022-01-03,S002,P0014,Groceries,West,298,233,245.02,1
2022-01-03,S002,P0015,Furniture,West,193,187,177.8,0
2022-01-03,S002,P0016,Electronics,South,205,39,37.83,0
2022-01-03,S002,P0017,Toys,West,427,234,231.16,1
2022-01-03,S002,P0018,Clothing,South,365,213,208.31,1
2022-01-03,S002,P0019,Clothing,North,111,55,71.88,1
2022-01-03,S002,P0020,Groceries,South,271,22,15.3,0
2022-01-03,S003,P0001,Clothing,North,134,100,100.66,1
2022-01-03,S003,P0002,Groceries,North,405,353,355.08,1
2022-01-03,S003,P0003,Electronics,West,290,255,246.78,0
2022-01-03,S003,P0004,Clothing,South,403,154,166.81,0
2022-01-03,S003,P0005,Clothing,East,311,147,154.97,1
2022-01-03,S003,P0006,Electronics,North,448,342,357.52,0
2022-01-03,S003,P0007,Furniture,West,277,54,48.62,0
2022-01-03,S003,P0008,Toys,East,421,289,292.21,0
2022-01-03,S003,P0009,Toys,South,241,179,198.59,1
2022-01-03,S003,P0010,Furniture,South,186,175,177.8,1
2022-01-03,S003,P0011,Clothing,West,413,209,220.54,0
2022-01-03,S003,P0012,Toys,East,112,109,113.33,1
2022-01-03,S003,P0013,Groceries,South,268,43,49.77,1
2022-01-03,S003,P0014,Toys,South,347,58,49.31,1
2022-01-03,S003,P0015,Electronics,South,495,399,390.1,1
2022-01-03,S003,P0016,Clothing,West,324,95,111.3,0
2022-01-03,S003,P0017,Clothing,West,330,296,297.58,0
2022-01-03,S003,P0018,Electronics,East,297,105,104.66,0
2022-01-03,S003,P0019,Clothing,East,169,103,107.67,0
2022-01-03,S003,P0020,Toys,South,257,131,123.65,0
2022-01-03,S004,P0001,Groceries,East,175,66,56.84,0
2022-01-03,S004,P0002,Groceries,West,228,163,161.48,1
2022-01-03,S004,P0003,Clothing,South,188,98,98.87,0
2022-01-03,S004,P0004,Groceries,East,211,150,167.75,1
2022-01-03,S004,P0005,Furniture,North,149,15,21.91,0
2022-01-03,S004,P0006,Electronics,North,383,36,26.89,1
2022-01-03,S004,P0007,Electronics,East,478,303,307.7,1
2022-01-03,S004,P0008,Electronics,East,217,209,215.04,1
2022-01-03,S004,P0009,Electronics,West,73,69,68.51,0
2022-01-03,S004,P0010,Electronics,West,467,143,139.44,0
2022-01-03,S004,P0011,Clothing,West,353,239,255.26,0
2022-01-03,S004,P0012,Groceries,North,471,192,188.72,1
2022-01-03,S004,P0013,Clothing,South,129,23,38.86,1
2022-01-03,S004,P0014,Groceries,East,301,165,160.46,1
2022-01-03,S004,P0015,Groceries,South,423,85,95.5,0
2022-01-03,S004,P0016,Groceries,East,385,79,86.62,0
2022-01-03,S004,P0017,Toys,North,74,33,43.64,0
2022-01-03,S004,P0018,Electronics,South,467,270,270.37,0
2022-01-03,S004,P0019,Toys,North,140,1,-3.91,0
2022-01-03,S004,P0020,Clothing,East,197,149,161.2,0
2022-01-03,S005,P0001,Groceries,North,159,3,18.12,0
2022-01-03,S005,P0002,Electronics,North,322,59,78.35,1
2022-01-03,S005,P0003,Groceries,East,106,15,25.13,0
2022-01-03,S005,P0004,Groceries,South,475,351,358.12,0
2022-01-03,S005,P0005,Groceries,North,83,66,63.37,1
2022-01-03,S005,P0006,Groceries,West,117,62,59.04,1
2022-01-03,S005,P0007,Clothing,West,368,77,95.69,1
2022-01-03,S005,P0008,Electronics,South,207,177,173.93,1
2022-01-03,S005,P0009,Electronics,West,398,349,350.47,0
2022-01-03,S005,P0010,Groceries,North,476,74,91.48,1
2022-01-03,S005,P0011,Groceries,North,119,40,43.92,1
2022-01-03,S005,P0012,Toys,North,77,72,68.01,1
2022-01-03,S005,P0013,Toys,South,191,190,205.54,0
2022-01-03,S005,P0014,Toys,North,419,263,263.83,1
2022-01-03,S005,P0015,Toys,South,184,126,143.76,0
2022-01-03,S005,P0016,Clothing,North,361,17,25.61,1
2022-01-03,S005,P0017,Toys,East,154,19,37.45,0
2022-01-03,S005,P0018,Toys,North,376,36,43.47,1
2022-01-03,S005,P0019,Toys,North,268,207,198.44,0
2022-01-03,S005,P0020,Toys,South,451,91,99.88,0
2022-01-04,S001,P0001,Groceries,South,85,58,52.87,1
2022-01-04,S001,P0002,Electronics,North,91,91,82.65,1
2022-01-04,S001,P0003,Toys,South,184,70,82.51,0
2022-01-04,S001,P0004,Electronics,North,209,0,15.37,1
2022-01-04,S001,P0005,Electronics,East,470,32,45.57,0
2022-01-04,S001,P0006,Clothing,South,127,8,0.54,0
2022-01-04,S001,P0007,Groceries,North,367,341,336.71,0
2022-01-04,S001,P0008,Electronics,East,404,347,350.96,0
2022-01-04,S001,P0009,Groceries,North,403,15,26.72,0
2022-01-04,S001,P0010,Toys,East,494,85,92.86,0
2022-01-04,S001,P0011,Toys,South,421,30,49.2,0
2022-01-04,S001,P0012,Electronics,West,150,136,140.64,0
2022-01-04,S001,P0013,Toys,North,94,31,46.7,0
2022-01-04,S001,P0014,Clothing,East,77,7,22.66,1
2022-01-04,S001,P0015,Electronics,West,430,377,371.89,1
2022-01-04,S001,P0016,Groceries,North,168,28,33.2,0
2022-01-04,S001,P0017,Toys,West,353,348,349.59,1
2022-01-04,S001,P0018,Groceries,South,380,258,258.58,1
2022-01-04,S001,P0019,Toys,West,127,41,50.38,1
2022-01-04,S001,P0020,Electronics,North,153,49,44.55,1
2022-01-04,S002,P0001,Clothing,North,108,83,85.5,1
2022-01-04,S002,P0002,Furniture,West,109,60,71.47,1
2022-01-04,S002,P0003,Toys,North,493,448,459.44,0
2022-01-04,S002,P0004,Toys,East,289,11,26.96,1
2022-01-04,S002,P0005,Groceries,East,425,390,407.4,0
2022-01-04,S002,P0006,Clothing,West,118,81,88.67,0
2022-01-04,S002,P0007,Electronics,North,449,121,132.54,0
2022-01-04,S002,P0008,Groceries,West,184,44,52.26,0
2022-01-04,S002,P0009,Toys,East,239,88,104.13,0
2022-01-04,S002,P0010,Groceries,West,216,142,138.75,1
2022-01-04,S002,P0011,Toys,North,291,48,48.65,1
2022-01-04,S002,P0012,Electronics,North,74,61,67.72,0
2022-01-04,S002,P0013,Electronics,East,429,140,151.22,0
2022-01-04,S002,P0014,Toys,West,467,390,408.18,1
2022-01-04,S002,P0015,Toys,North,121,91,93.99,0
2022-01-04,S002,P0016,Groceries,East,134,32,32.03,0
2022-01-04,S002,P0017,Electronics,East,152,60,54.96,1
2022-01-04,S002,P0018,Clothing,South,236,206,220.44,1
2022-01-04,S002,P0019,Groceries,West,253,108,107.84,1
2022-01-04,S002,P0020,Furniture,East,403,349,340.49,0
2022-01-04,S003,P0001,Furniture,South,335,271,276.13,0
2022-01-04,S003,P0002,Electronics,South,293,202,215.12,1
2022-01-04,S003,P0003,Toys,North,169,34,24.17,0
2022-01-04,S003,P0004,Clothing,West,294,165,164.1,0
2022-01-04,S003,P0005,Groceries,North,69,2,21.27,0
2022-01-04,S003,P0006,Electronics,East,328,308,323.67,1
2022-01-04,S003,P0007,Toys,North,173,76,75.54,1
2022-01-04,S003,P0008,Toys,East,108,91,95.55,1
2022-01-04,S003,P0009,Furniture,West,494,113,121.8,1
2022-01-04,S003,P0010,Electronics,East,366,274,268.6,1
2022-01-04,S003,P0011,Toys,East,441,116,128.01,0
2022-01-04,S003,P0012,Electronics,North,181,5,18.13,1
2022-01-04,S003,P0013,Furniture,East,330,115,111.27,1
2022-01-04,S003,P0014,Clothing,East,228,79,75.88,1
2022-01-04,S003,P0015,Electronics,East,344,223,235.42,0
2022-01-04,S003,P0016,Furniture,West,336,258,260.26,1
2022-01-04,S003,P0017,Toys,West,355,236,248.1,0
2022-01-04,S003,P0018,Toys,North,431,309,323.61,0
2022-01-04,S003,P0019,Groceries,North,172,32,26.96,0
2022-01-04,S003,P0020,Clothing,South,145,44,43.44,1
2022-01-04,S004,P0001,Furniture,South,487,145,154.43,0
2022-01-04,S004,P0002,Groceries,North,216,150,141.65,1
2022-01-04,S004,P0003,Toys,West,236,40,36.09,1
2022-01-04,S004,P0004,Toys,West,260,245,256.94,1
2022-01-04,S004,P0005,Furniture,North,435,241,255.72,0
2022-01-04,S004,P0006,Groceries,South,499,138,128.04,1
2022-01-04,S004,P0007,Clothing,East,180,152,157.24,1
2022-01-04,S004,P0008,Furniture,West,128,12,16.36,1
2022-01-04,S004,P0009,Furniture,South,291,158,158.23,1
2022-01-04,S004,P0010,Clothing,North,444,265,264.83,1
2022-01-04,S004,P0011,Clothing,East,281,240,243.7,0
2022-01-04,S004,P0012,Toys,North,189,153,145.17,0
2022-01-04,S004,P0013,Groceries,West,80,68,81.02,1
2022-01-04,S004,P0014,Furniture,West,314,302,300.24,0
2022-01-04,S004,P0015,Clothing,West,167,70,69.66,1
2022-01-04,S004,P0016,Groceries,West,129,92,89.92,0
2022-01-04,S004,P0017,Clothing,East,425,275,266.14,1
2022-01-04,S004,P0018,Groceries,East,103,3,20.62,0
2022-01-04,S004,P0019,Groceries,West,471,307,319.56,1
2022-01-04,S004,P0020,Groceries,South,364,62,68.97,0
2022-01-04,S005,P0001,Furniture,North,383,195,214.04,0
2022-01-04,S005,P0002,Furniture,West,495,33,36.13,1
2022-01-04,S005,P0003,Toys,South,439,263,266.77,0
2022-01-04,S005,P0004,Toys,West,101,83,97.81,1
2022-01-04,S005,P0005,Toys,South,292,78,85.65,1
2022-01-04,S005,P0006,Clothing,West,466,118,133.87,0
2022-01-04,S005,P0007,Clothing,North,175,147,141.44,1
2022-01-04,S005,P0008,Furniture,South,327,216,233.51,0
2022-01-04,S005,P0009,Groceries,West,194,27,26.91,1
2022-01-04,S005,P0010,Electronics,North,349,172,171.35,1
2022-01-04,S005,P0011,Toys,West,237,78,77.14,1
2022-01-04,S005,P0012,Clothing,South,220,196,187.61,1
2022-01-04,S005,P0013,Groceries,North,86,75,72.27,1
2022-01-04,S005,P0014,Toys,West,334,11,8.45,1
2022-01-04,S005,P0015,Clothing,West,186,144,150.43,1
2022-01-04,S005,P0016,Electronics,North,288,200,216.05,0
2022-01-04,S005,P0017,Toys,North,460,256,252.35,1
2022-01-04,S005,P0018,Groceries,East,482,118,137.7,0
2022-01-04,S005,P0019,Toys,North,278,244,259.18,0
2022-01-04,S005,P0020,Furniture,West,128,54,62.09,0
2022-01-05,S001,P0001,Groceries,South,238,147,150.27,1
2022-01-05,S001,P0002,Toys,West,270,220,237.0,0
2022-01-05,S001,P0003,Toys,South,216,97,101.54,1
2022-01-05,S001,P0004,Electronics,North,172,29,40.03,1
2022-01-05,S001,P0005,Furniture,West,405,192,193.38,0
2022-01-05,S001,P0006,Toys,North,338,158,168.84,1
2022-01-05,S001,P0007,Groceries,West,409,8,17.44,0
2022-01-05,S001,P0008,Electronics,West,102,42,35.11,0
2022-01-05,S001,P0009,Furniture,East,433,5,6.6,0
2022-01-05,S001,P0010,Furniture,East,288,93,85.66,0
2022-01-05,S001,P0011,Groceries,North,485,44,54.08,1
2022-01-05,S001,P0012,Electronics,West,414,78,76.67,0
2022-01-05,S001,P0013,Toys,East,370,57,55.73,0
2022-01-05,S001,P0014,Toys,North,233,161,155.79,1
2022-01-05,S001,P0015,Toys,West,272,172,183.33,1
2022-01-05,S001,P0016,Groceries,East,189,132,143.24,0
2022-01-05,S001,P0017,Electronics,East,120,46,53.06,0
2022-01-05,S001,P0018,Groceries,South,248,17,17.8,0
2022-01-05,S001,P0019,Electronics,West,492,38,47.82,1
2022-01-05,S001,P0020,Toys,West,355,11,4.5,0
2022-01-05,S002,P0001,Furniture,East,250,161,171.45,1
2022-01-05,S002,P0002,Electronics,North,182,101,92.92,1
2022-01-05,S002,P0003,Electronics,North,274,263,257.46,0
2022-01-05,S002,P0004,Furniture,North,148,32,25.88,0
2022-01-05,S002,P0005,Clothing,West,241,209,212.58,1
2022-01-05,S002,P0006,Groceries,West,131,24,22.17,0
2022-01-05,S002,P0007,Groceries,South,80,20,34.05,1
2022-01-05,S002,P0008,Clothing,East,483,148,145.1,1
2022-01-05,S002,P0009,Toys,West,228,100,109.92,1
2022-01-05,S002,P0010,Toys,East,202,129,119.12,0
2022-01-05,S002,P0011,Furniture,East,440,257,266.89,1
2022-01-05,S002,P0012,Groceries,West,264,262,269.59,0
2022-01-05,S002,P0013,Toys,East,296,200,214.64,1
2022-01-05,S002,P0014,Groceries,West,201,56,69.26,1
2022-01-05,S002,P0015,Clothing,South,70,24,17.01,0
2022-01-05,S002,P0016,Furniture,West,176,105,106.4,0
2022-01-05,S002,P0017,Groceries,East,399,294,302.77,0
2022-01-05,S002,P0018,Groceries,East,294,142,154.25,1
2022-01-05,S002,P0019,Electronics,South,222,55,68.88,1
2022-01-05,S002,P0020,Electronics,South,123,24,27.69,1
2022-01-05,S003,P0001,Electronics,West,388,53,47.35,1
2022-01-05,S003,P0002,Groceries,South,191,189,187.88,0
2022-01-05,S003,P0003,Furniture,East,370,146,155.15,1
2022-01-05,S003,P0004,Furniture,East,463,186,188.51,0
2022-01-05,S003,P0005,Toys,West,140,77,90.49,1
2022-01-05,S003,P0006,Furniture,East,314,225,220.06,0
2022-01-05,S003,P0007,Clothing,East,79,66,74.14,1
2022-01-05,S003,P0008,Electronics,South,411,35,35.46,1
2022-01-05,S003,P0009,Electronics,West,117,1,7.16,1
2022-01-05,S003,P0010,Clothing,West,109,95,90.43,0
2022-01-05,S003,P0011,Electronics,East,438,255,269.91,1
